Replicate1_CtrlV	Replicate2_DAPT	Replicate3_CtrlV	Replicate4_CtrlV	Replicate4_DAPT	Replicate4_LY411575	Replicate5_CtrlV	Replicate5_DAPT	Replicate5_LY411575	Replicate6_CtrlV	Replicate6_DAPT	Replicate6_LY411575
TMPO-AS1	3.55604015580353	3.23464799045833	3.22939542951682	2.96900419123495	3.17468374027526	3.02684863678678	2.47020023284454	3.16904099274674	3.26507691432461	4.22701512151058	2.80854996946063	3.04382311609472
LINC02731	1.5086230964015	1.54993549542795	1.86311274779816	1.3408406024932	1.74931553035576	2.35421560638972	1.64680015522969	0.880289164651871	1.58306759482406	2.02544474572382	1.93087810400418	1.88000839523497
ZNF667-AS1	56.5733661150562	56.3367858338159	55.4586561261254	58.5181148659534	56.8851494686057	54.5673545909616	56.9060942529371	54.6659571248812	53.1317061512824	51.8689980535361	49.149624465561	53.1773803223607
ZNF606-AS1	11.045276241511	10.8495484679956	10.8060539372294	8.61968958745631	10.0423669335238	9.92133719835666	9.97228982889091	9.68318081117058	10.1909976416799	14.5303644801926	10.9708983182056	12.8914861387541
KIAA1671-AS1	2.20905524830219	2.15643199363889	1.55259395649847	1.81971224624078	1.87889445853026	1.93381996239155	1.73828905274245	1.23240483051262	1.68200931950056	1.32094222547206	2.19417966364112	2.05905681382878
TEKTIP1	2.10129645570209	1.3477699960243	1.24207516519878	1.24506627374369	0.647894640872502	0.840791287996327	1.09786677015313	0.704231331721497	1.78095104417706	3.52251260125882	1.66757654436725	1.70095997664117
ACVR2B-AS1	2.37069343720235	3.23464799045833	2.48415033039755	2.49013254748738	2.20284177896651	2.18605734879045	2.65317802787006	1.58452049637337	2.47354311691259	2.20157037578676	2.10641247709547	2.5066778603133
OST4	46.1207632328458	50.4739863511102	47.8198938601529	51.2392658809903	46.7779930709946	46.6639164837961	49.8614491444546	48.0637883899922	44.9195430031326	44.3836587758611	43.7080588997311	40.823039439388
ERCC6L2-AS1	27.9634066797278	24.7989679268472	29.6234926899908	23.6562592011301	21.3805231487926	24.9715012534909	24.5190245334199	22.0072291162968	19.3925780365947	28.1801008100705	27.4711293887868	27.4839322541494
VPS9D1-AS1	5.65733661150562	5.52585698369964	5.03040441905504	5.55491106747184	4.01694677340951	5.38106424317649	5.39784495325288	4.7535614891201	6.13438692994321	5.72408297704558	4.73942807346481	6.44574306937705
PKP4-AS1	2.42457283350241	2.2238204934401	3.16729167125688	2.20280956123883	2.13805231487926	2.43829473518935	2.37871133533178	2.20072291162968	2.57248484158909	2.46575882088117	2.19417966364112	2.5962020696102
SEMA3F-AS1	16.7564922493166	16.3080169518941	16.8922222467034	14.7492466274252	16.9100501267723	15.7227970855313	15.278645884631	16.1092917131292	16.8200931950056	15.2348670004444	16.5002310705812	17.9048418593807
TDH-AS1	1.13146732230112	1.28038149622309	1.1178676486789	1.43661493124272	1.1662103535705	1.26118693199449	1.64680015522969	1.76057832930374	1.18730069611804	0.968690965346175	1.40427498473032	1.70095997664117
ZSCAN16-AS1	7.43535668940738	9.97349797057984	9.87449756333027	10.5351761624466	10.625472110309	10.5098910999541	10.8871788040185	9.41909406177502	8.41004659750279	9.59884683843028	8.68895146801883	9.93718723195629
SMIM27	2.47845222980246	3.23464799045833	2.2357352973578	2.10703523248932	3.30426266844976	2.60645299278861	2.47020023284454	2.90495424335117	2.27565966755958	3.17026134113294	2.5452484098237	2.23810523242259
SMIM10L1	36.3685925025361	42.7243088739704	43.658942056737	45.4928061560194	44.6399407561154	43.8893052334083	40.895537188204	42.0778220703594	46.3047271486036	44.3836587758611	40.6362073706335	48.9697424854062
MKRN2OS	2.26293464460225	2.02165499403646	1.80100898953823	2.10703523248932	2.20284177896651	1.59750344719302	2.01275574528073	1.58452049637337	2.07777621820657	2.81801008100705	2.19417966364112	2.6857262789071
ZNF37BP	37.284542239637	35.3115738958368	42.1063481002385	38.6928288148039	38.8736784523501	38.1719244750332	37.0530034926681	36.0038268342615	38.0925640004538	45.1762241111443	41.3383448629987	44.8516288577487
LINC02983	3.87931653360385	3.23464799045833	3.91253677037614	2.49013254748738	2.72115749166451	2.69053212158825	3.0191336179211	2.46480966102524	3.56190208835412	4.05088949144764	2.89631715600628	2.32762944171949
SOD2-OT1	5.06466325220503	5.99757648230815	5.03040441905504	3.9267474787301	7.25641997777202	6.64225117517098	4.75742267066355	7.4824578995409	6.62909555332573	4.31507793654205	6.58253899092335	6.98288832515847
ZNF730	3.87931653360385	4.58241798648263	3.85043301211621	3.35210150623301	4.40568355793301	5.12882685677759	3.29360031045938	4.7535614891201	4.65026105979566	4.40314075157352	4.82719526001046	3.76001679046995
LINC02035	9.1594973710091	12.1973184640199	10.9302614537492	9.96053018994951	11.5325246075305	10.8462076151526	10.704201008993	10.2113543099617	10.2899393663564	11.4481659540912	10.9708983182056	11.1905261621129
FAM47E	1.72414068160171	1.81948949463281	2.54625408865749	2.20280956123883	2.52678909940276	2.18605734879045	2.28722243781902	2.20072291162968	1.38518414547105	2.28963319081823	1.66757654436725	1.52191155804736
PLPPR5-AS1	1.88577887050187	1.48254699562673	1.67680147301835	1.72393791749126	1.74931553035576	1.17710780319486	1.82977795025521	1.23240483051262	1.97883449353007	1.76125630062941	2.01864529054983	1.43238734875046
ARRDC3-AS1	0.592673359300589	1.21299299642187	1.36628268171865	1.14929194499417	0.842263033134252	1.84974083359192	0.457444487563803	0.792260248186684	0.593650348059021	1.05675378037765	0.702137492365158	1.07429051156284
SLC25A21-AS1	1.83189947420182	2.56076299244618	1.9252165060581	2.39435821873786	1.81410499444301	2.27013647759008	1.82977795025521	0.968318081117058	2.07777621820657	1.67319348559794	1.40427498473032	1.70095997664117
ZNF737	1.40086430380139	1.95426649423524	1.42838643997859	1.81971224624078	1.554947138094	1.42934518959376	2.01275574528073	1.76057832930374	1.48412587014755	2.11350756075529	1.75534373091289	3.31239574398543
SCOC-AS1	1.72414068160171	0.741273497813367	1.42838643997859	1.14929194499417	0.971841961308753	1.17710780319486	0.823400077614846	0.880289164651871	1.48412587014755	1.497067855535	1.49204217127596	1.34286313945355
PCGF3-AS1	5.11854264850508	7.00840397932638	7.07982844163302	7.75772062871068	5.57189391150352	6.05369727357355	5.48933385076564	6.69019765135422	5.24391140785468	8.01371616786381	8.16234834874496	8.50479988320583
TMEM269	1.13146732230112	1.48254699562673	0.869452615639143	0.861968958745631	0.842263033134252	0.840791287996327	1.28084456517865	0.880289164651871	1.08835897144154	0.880628150314704	0.965439052002092	0.895242092969035
HDAC6	94.7738580917941	96.0960007165328	85.0200450578562	91.943355599534	94.786985959647	99.0452137259673	90.9399641276841	100.705080436174	91.7189787751187	94.5794633437992	105.232856668228	97.3128155057341
HSFX2	2.26293464460225	2.69553999204861	3.10518791299694	2.58590687623689	2.85073641983901	2.69053212158825	3.0191336179211	2.81692532688599	2.17671794288308	2.3776960058497	2.63301559636934	3.22287153468853
MAPT-IT1	3.77155774100375	3.16725949065711	3.41570670429663	3.63942449248155	4.53526248610751	3.53132340958457	3.56806700299767	3.69721449153786	5.34285313253119	4.84345482673087	4.65166088691917	3.22287153468853
EFCAB14-AS1	0.862070340800856	1.07821599681944	0.807348857379204	0.766194629996116	1.10142088948325	0.92487041679596	0.823400077614846	1.32043374697781	1.18730069611804	1.23287941044059	1.40427498473032	1.07429051156284
LINC02593	29.3103915872291	30.2574364107456	27.5740686674128	27.4872323511107	22.9354702868866	27.9142707614781	25.982846893624	23.1516050303442	26.8132073873324	31.4384249662349	26.1546215906021	28.3791743471184
GPC1-AS1	3.34052257060332	2.42598599284375	2.67046160517737	2.29858388998835	1.554947138094	2.69053212158825	2.10424464279349	2.46480966102524	3.06719346497161	3.43444978622735	2.63301559636934	1.96953260453188
PARD6G-AS1	1.45474370010144	1.68471249503038	1.9252165060581	1.53238925999223	1.4253682099195	1.51342431839339	2.01275574528073	1.23240483051262	1.78095104417706	1.84931911566088	1.22874061163903	1.96953260453188
SPMIP1	15.0323515677149	14.6233044568637	15.7122508397645	15.7069899149204	13.0226822815373	15.3024014415332	13.7233346269141	13.644482052104	16.8200931950056	15.4990554455388	14.1305170338488	12.981010348051
EFCAB10	3.1250049854031	3.23464799045833	3.29149918777676	3.83097314998058	3.49863106071151	4.119877311182	4.02551149056147	2.81692532688599	4.65026105979566	4.31507793654205	3.94952339455401	4.38668625554827
AGAP2-AS1	17.3491656086172	14.8928584560686	14.3459681580459	13.5999546824311	11.0142088948325	13.0322649639431	12.991423446812	13.5564531356388	15.6327924988875	17.6125630062941	13.8672154742119	14.5924461153953
TSTD3	6.9504421227069	9.7713324711762	7.32824347467278	7.47039764246213	7.90431461864452	8.40791287996327	8.05102298112294	7.39442898307572	7.02486245203175	8.6301558730841	7.89904678910802	9.13146934828416
VAC14-AS1	2.85560800390284	3.03248249105468	1.86311274779816	2.29858388998835	2.46199963531551	2.60645299278861	2.5616891303573	1.76057832930374	2.27565966755958	1.93738193069235	2.36971403673241	2.14858102312568
ZNF594-DT	2.47845222980246	1.21299299642187	1.61469771475841	1.53238925999223	1.1662103535705	1.68158257599265	1.18935566766589	1.58452049637337	1.08835897144154	1.84931911566088	1.75534373091289	1.70095997664117
SYCE1L	2.47845222980246	2.29120899324132	2.98098039647706	2.39435821873786	2.72115749166451	2.01789909119118	2.92764472040834	1.93663616223412	3.36401863900112	2.02544474572382	2.63301559636934	1.79048418593807
ZNF316	53.394481733353	48.1827773578688	44.9631209801957	43.4815452522796	41.7892043362764	46.4957582261969	49.4040046568908	44.5426317313847	50.0645126863107	53.9825056142914	48.3597197866502	50.0440329969691
CKMT2-AS1	5.65733661150562	5.05413748509114	4.78198938601529	5.55491106747184	5.11836766289276	5.04474772797796	5.21486715822736	4.48947473972454	3.75978553770713	4.13895230647911	4.82719526001046	5.28192834851731
SRP14-DT	3.55604015580353	4.24547548747656	3.16729167125688	4.98026509497476	3.30426266844976	3.36316515198531	4.39146708061251	4.7535614891201	3.95766898706014	4.66732919666793	4.03729058109966	4.20763783695446
DPP9-AS1	1.83189947420182	2.02165499403646	1.24207516519878	1.53238925999223	1.1662103535705	1.76566170479229	1.46382236020417	1.84860724576893	1.58306759482406	1.40900504050353	1.40427498473032	1.70095997664117
ZBTB20-AS1	1.77802007790177	3.36942499006076	2.29783905561774	2.96900419123495	3.17468374027526	2.85869037918751	2.10424464279349	2.99298315981636	2.57248484158909	2.99413571106999	2.72078278291499	2.41715365101639
TSTD1	16.2715776826162	18.801391444539	20.5563439840397	21.0703523248932	23.3889965354973	19.8426743967133	22.5977576856519	23.063576113879	23.0534218496253	18.9335052317661	20.7130560247722	18.8000839523497
CCDC183-AS1	2.10129645570209	2.96509399125347	2.42204657213761	2.39435821873786	1.87889445853026	2.35421560638972	2.10424464279349	2.64086749395561	2.8693100156186	2.11350756075529	1.93087810400418	2.41715365101639
NEMP2	3.07112558910305	3.43681348986197	3.41570670429663	3.25632717748349	3.10989427618801	3.53132340958457	3.20211141294662	2.99298315981636	3.06719346497161	3.34638697119588	3.77398902146272	3.49144416257924
ZNF503-AS2	3.93319592990391	4.58241798648263	4.53357435297553	4.69294210872621	4.60005195019476	4.70843121277943	2.65317802787006	3.4331277421423	5.54073658188419	4.57926638163646	3.86175620800837	4.65525888343898
C11orf91	0.484914566700482	0.808661997614582	0.745245099119266	1.05351761624466	1.4253682099195	1.68158257599265	1.82977795025521	1.23240483051262	1.18730069611804	0.880628150314704	1.22874061163903	0.895242092969035
EOLA1-DT	3.55604015580353	3.36942499006076	3.91253677037614	3.83097314998058	3.56342052479876	3.36316515198531	2.92764472040834	3.87327232446823	3.26507691432461	4.31507793654205	4.38835932728224	3.67049258117304
MZF1-AS1	4.36423110030433	3.77375598886805	4.03674428689602	4.21407046497864	3.69299945297326	4.119877311182	4.02551149056147	3.16904099274674	3.75978553770713	4.7553920116994	3.86175620800837	4.02858941836066
ARMCX4	39.6013562805393	43.2634168723801	48.5030352010122	47.8871643747573	47.8794139604779	46.0753625821987	47.2082711165845	50.6166269674826	41.3576409147784	47.2016688568682	55.6443962699387	52.3716624386885
PET100	20.6896881792205	20.2839384401658	19.9353064014404	18.1971224624078	23.7129438559336	20.5153074271104	20.9509575304222	20.686795369319	21.5692959794778	17.96481426642	19.6598497862244	20.8591407661785
ZNF717	2.42457283350241	3.50420198966319	3.78832925385627	2.77745553373592	3.23947320436251	2.94276950798714	3.11062251543386	3.87327232446823	2.7703682909421	4.49120356660499	3.24738590218885	4.83430730203279
INSYN2B	14.7629545862147	14.1515849582552	19.1279575440612	15.0365696136738	14.9015767400675	15.3024014415332	15.0956680896055	16.8135230448507	15.8306759482406	20.4305730873011	19.3087810400418	19.6058018360219
FAM27E3	0.91594973710091	0.673884998012152	0.869452615639143	1.3408406024932	0.712684104959752	0.92487041679596	0.731911180102085	1.14437591404743	0.890475522088531	1.14481659540912	1.14097342509338	1.34286313945355
RRN3P3	4.6336280818046	4.11069848787413	4.28515931993578	4.78871643747573	3.62820998888601	4.45619382638053	4.11700038807423	3.25706990921192	4.05661071173664	4.31507793654205	4.56389370037352	4.56573467414208
FOXO6	16.109939493716	11.590821965809	13.8491380919664	15.1323439424233	11.143787823007	15.2183223127335	15.0041791920927	13.1163085533129	13.159249381975	17.4364373762311	12.9895436087554	11.9067198364882
FAM66B	2.53233162610251	1.48254699562673	1.9252165060581	1.91548657499029	1.74931553035576	1.51342431839339	1.37233346269141	1.67254941283855	1.48412587014755	1.76125630062941	1.22874061163903	1.70095997664117
LINC01783	2.15517585200214	1.28038149622309	1.24207516519878	1.62816358874175	1.4253682099195	2.18605734879045	1.73828905274245	1.67254941283855	1.68200931950056	1.58513067056647	1.93087810400418	1.61143576734426
EHBP1-AS1	7.48923608570744	9.29961297256769	9.25345998073088	8.42814092995728	9.07052497221503	8.57607113756253	8.78293416122502	8.27471814772759	9.49840556894433	8.80628150314704	9.30332177383834	7.34098516234609
NPIPB5	13.8470048491138	11.0517139673993	10.5576389041896	7.85349495746019	6.86768319324852	9.58502068315813	9.78931203386539	5.4577928208416	8.41004659750279	11.3601031390597	11.1464326912969	12.1752924643789
LINC01512	2.15517585200214	1.21299299642187	1.49049019823853	2.01126090373981	1.49015767400675	1.26118693199449	2.01275574528073	1.76057832930374	1.38518414547105	1.67319348559794	0.702137492365158	1.61143576734426
NBPF10	14.4396782084143	16.1732399522916	15.4017320484648	15.2281182711728	14.6424188837185	14.882005797535	14.8212013970672	14.2606844673603	12.961365932622	16.291620780822	15.4470248320335	16.741027138521
BSN-DT	0.700432151900696	1.41515849582552	1.55259395649847	1.43661493124272	1.49015767400675	1.76566170479229	0.823400077614846	1.14437591404743	0.890475522088531	1.23287941044059	1.66757654436725	1.52191155804736
MSC-AS1	2.42457283350241	2.02165499403646	1.98732026431804	1.81971224624078	2.46199963531551	1.76566170479229	1.55531125771693	2.55283857749043	2.37460139223608	1.67319348559794	2.19417966364112	2.5066778603133
LINC03009	8.62070340800856	7.68228897733853	7.88717729901223	7.18307465621359	6.67331480098677	6.47409291757172	8.41697857117398	5.36976390437641	6.92592072735524	6.78083675742322	7.89904678910802	6.62479148797086
HOXA-AS3	5.65733661150562	4.64980648628385	3.16729167125688	3.35210150623301	4.21131516567126	4.96066859917833	3.75104479802319	4.04933015739861	4.15555243641314	4.22701512151058	3.68622183491708	3.76001679046995
XNDC1N	1.23922611490123	1.14560449662066	0.745245099119266	0.957743287495145	1.10142088948325	0.840791287996327	1.00637787264037	0.968318081117058	1.38518414547105	1.05675378037765	1.22874061163903	1.25333893015665
CD24	781.305125747076	767.555012735841	698.480969149532	701.451183761444	737.498469705169	735.019743966389	712.790000521918	738.650638059385	771.646510752051	671.743153060057	709.509936034992	718.252731189057
UXT-AS1	2.80172860760278	2.83031699165104	2.67046160517737	3.16055284873398	3.56342052479876	2.77461125038788	3.0191336179211	2.90495424335117	3.26507691432461	2.3776960058497	3.07185152909756	2.5962020696102
KDM7A-DT	2.80172860760278	2.42598599284375	1.9252165060581	1.72393791749126	1.81410499444301	2.69053212158825	2.65317802787006	2.7288964104208	2.37460139223608	2.90607289603852	3.07185152909756	2.32762944171949
NDUFB2-AS1	13.4698490750134	13.6798654596467	14.3459681580459	14.4619236411767	14.1888926351078	13.2004232215423	13.9063124219396	12.5001061380566	14.4454918027695	13.2094222547206	12.5507076760272	12.1752924643789
UBE2Q2P2	3.1250049854031	1.68471249503038	2.2357352973578	2.77745553373592	3.23947320436251	2.35421560638972	2.74466692538282	2.81692532688599	2.37460139223608	2.90607289603852	3.15961871564321	2.5066778603133
TEN1	3.71767834470369	3.16725949065711	3.60201797907645	3.83097314998058	3.23947320436251	2.60645299278861	3.29360031045938	3.96130124093342	3.06719346497161	3.08219852610147	3.51068746182579	3.13334732539162
UPK3BL1	13.6314872639135	10.5799944687908	11.7997140693884	11.0140478061942	10.7550510384835	11.2666032591508	10.704201008993	10.2113543099617	11.9719486858569	10.6556006188079	10.9708983182056	10.1162356505501
JMJD7	13.5237284713134	12.3994839634236	12.5449591685076	11.0140478061942	10.36631425396	10.2576537135552	12.1680233691972	11.4437591404743	11.8730069611804	10.2152865436506	10.619829572023	11.5486229993006
PLA2G4B	8.40518582280835	7.61490047753731	8.44611112335168	6.51265435496699	6.15499908828877	6.89448856156988	6.95315621096981	7.04231331721497	7.91533797412028	8.98240713320999	7.89904678910802	9.48956618547177
HDAC5	148.976530769648	131.272797612767	131.53575999455	138.968551015546	121.221087307245	131.079361798627	132.109968008426	136.708907270436	133.769211762633	141.252755310479	132.00184856465	132.40630555012
GALNT13-AS1	1.5086230964015	1.48254699562673	1.36628268171865	1.72393791749126	1.6845260662685	2.01789909119118	1.92126684776797	0.968318081117058	0.890475522088531	1.93738193069235	2.01864529054983	1.52191155804736
EPHA5-AS1	8.89010038950883	7.14318097892881	7.07982844163302	5.74645972497087	5.96063069602702	5.71738075837502	6.58720062091877	7.21837115014534	5.44179485720769	6.69277394239175	6.49477180437771	6.80383990656467
CHKB-DT	2.69396981500268	3.16725949065711	2.35994281387767	2.58590687623689	2.39721017122826	3.95171905358274	3.20211141294662	2.55283857749043	2.7703682909421	3.34638697119588	4.03729058109966	3.58096837187614
KLLN	3.66379894840364	3.0998709908559	2.73256536343731	3.06477851998447	3.49863106071151	3.69948166718384	3.0191336179211	3.34509882567711	3.85872726238363	2.81801008100705	2.5452484098237	2.5962020696102
RNU7-1	2.80172860760278	2.62815149224739	2.42204657213761	2.68168120498641	2.52678909940276	2.35421560638972	3.11062251543386	2.20072291162968	2.47354311691259	2.81801008100705	2.45748122327805	2.77525048820401
PDCD6IP	80.9807326389804	90.9070862318393	90.0504494769113	86.3884445320621	96.9250382745263	93.3278329675923	91.0314530251969	97.0958948611014	97.6554822557089	97.5735990548692	95.841767707844	92.2994597851075
PDCD6	35.1293663876349	29.3139974135286	32.4181618116881	33.7125637198291	31.1637322259673	32.2023063302593	35.0402477473873	35.739740084866	26.9121491120089	31.3503621512035	29.7530762389736	32.5868121840729
SRRM5	33.9440196690337	31.8073719061736	31.2381904047492	27.8703296661087	29.0904693751753	28.6709829206747	31.1062251543386	29.1375713499769	33.1454777666287	26.3307816944097	29.2264731196997	27.5734564634463
EPOP	2.20905524830219	1.75210099483159	2.04942402257798	1.81971224624078	1.74931553035576	1.51342431839339	1.28084456517865	1.40846266344299	1.68200931950056	1.76125630062941	1.93087810400418	1.34286313945355
BCL2L11	5.65733661150562	7.07579247912759	6.14827206773394	5.45913673872233	6.02542016011427	5.04474772797796	5.5808227482784	5.01764823851566	6.23332865461972	5.28376890188823	6.49477180437771	5.1924041392204
TOMM6	34.5905724246344	35.5811278950416	35.8338685159847	36.3942449248155	37.3187313142561	32.8749393606564	33.2104697971321	36.4439714165875	33.6401863900112	34.6086863073679	31.1573512237039	35.3620626722769
DCTN1-AS1	6.8426833301068	6.13235348191058	6.76930965033333	7.47039764246213	5.11836766289276	6.39001378877208	6.58720062091877	6.07399523609791	5.04602795850168	7.48533927767499	7.63574522947109	7.25146095304918
SH2B3	17.7263213827176	15.7015204536831	17.3890523127829	16.0900872299184	16.3917344140743	19.926753525513	14.7297124995545	17.429725460107	18.0073938911236	18.7573796017032	18.2555748014941	20.8591407661785
RAMP2-AS1	5.65733661150562	4.58241798648263	4.96830066079511	4.78871643747573	3.62820998888601	4.28803556878127	4.66593377315079	3.96130124093342	5.93650348059021	4.66732919666793	4.73942807346481	5.1028799299235
CDH4	112.015264907811	109.506312176975	106.135322866235	91.3687096270369	80.533303860452	98.5407389531695	83.346385634125	85.4760778876967	89.2454356582061	96.2526568293972	101.634402019857	99.1032996916722
GNE	77.9096070498774	75.2055657781561	79.4307068144617	86.8673161758097	82.0234615344587	85.4243948604268	84.1697857117398	83.9795863077885	82.0226897568214	76.3504606322849	87.0650490532796	85.9432409250274
