"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"diffexpressed"
"VSNL1"	-0.455218364916445	5.97620726086698	35.536753181889	3.87311196248389e-05	0.0104091710931359	"Downregulated"
"PRPH"	0.51604541014823	6.84556586979087	28.7803060747229	3.95788807257098e-05	0.0104400292047594	"Upregulated"
"GPR153"	-0.298005030699493	7.16039544193856	32.8315819739775	4.26979938050971e-05	0.0110580040683601	"Downregulated"
"KCNN1"	-0.642371550204559	5.0348505282496	27.6449157200626	4.98523144205812e-05	0.012680292260835	"Downregulated"
"NSDHL"	0.604250253147224	5.2475439647064	73.6123691546498	5.50023197387738e-05	0.0137447902168262	"Upregulated"
"REM2"	-0.846239110245434	4.21544411434678	46.2404693928151	5.93941441210837e-05	0.0145863825665641	"Downregulated"
"SOX4"	0.216151463446491	8.05815626857993	26.8085992478096	6.55073476915193e-05	0.0156864221542812	"No change"
"CHGB"	-0.253984052286534	8.0635726845305	26.2974620321845	6.60759147189603e-05	0.0156864221542812	"Downregulated"
"ENC1"	-0.177255218454656	8.64126853343943	25.5924622934499	7.68450468975965e-05	0.0179423886460086	"No change"
"NES"	0.323225905055836	6.89953822476579	29.470895557989	7.80980129214079e-05	0.0179423886460086	"Upregulated"
"DLG4"	-0.218556506415523	7.88142128054826	33.1193950873434	0.00011440888913018	0.0258673050280997	"No change"
"JUN"	0.391251763911405	6.91473592589971	23.4414089530497	0.000123810120825973	0.0275554900163307	"Upregulated"
"B4GALT5"	0.229379160658044	7.76957162102005	46.6479020567978	0.000129248962500232	0.0283234187977432	"No change"
"SLC12A5"	-0.308278118867468	6.85918656433244	45.2904720238477	0.000135899277403878	0.0293295349597098	"Downregulated"
"TUNAR"	-0.374705172447334	6.2981610772616	42.9749894507911	0.00014153077114657	0.0296793334677771	"Downregulated"
"ARHGAP36"	-0.90710199427608	4.30807671773119	22.8535276104435	0.000141687354381413	0.0296793334677771	"Downregulated"
"NR4A1"	-1.22859373005877	3.17669226484282	41.3723285092259	0.000147783745552378	0.0305077053862039	"Downregulated"
"BAIAP3"	-0.387448549729553	6.18793295469811	31.9714894178853	0.000153226667417455	0.0307189856972242	"Downregulated"
"ELAVL2"	0.184720810135228	8.49353291796811	22.4712969038203	0.000154843424947704	0.0307189856972242	"No change"
"RNF145"	0.251150386431359	7.47937317653559	44.6108137914545	0.000155277097037359	0.0307189856972242	"Upregulated"
"HNRNPA1"	0.183411650493784	8.95753004904256	21.6322244575378	0.00018875811562394	0.0368311040951698	"No change"
"CPE"	-0.133995974113765	9.44040649278156	21.0838526083842	0.000215359277463227	0.0414537506511649	"No change"
"TROAP-AS1"	0.582866669837398	5.82288560616691	20.8662442451027	0.000227049629078896	0.0431212655546639	"Upregulated"
"FASN"	0.372955461294444	8.65810040492319	20.5883560640594	0.000243016635460685	0.0450941664782168	"Upregulated"
"STMN4"	0.260914101286461	8.66357455299191	20.575760641178	0.00024376936386006	0.0450941664782168	"Upregulated"
"TH"	-0.712779773299295	4.40477332745589	31.9031637302345	0.000264444678972958	0.0482916667601386	"Downregulated"
"PGAM1"	-0.203737273054097	7.91931506839163	20.3879955339887	0.000272576514559509	0.0491465806757676	"No change"
"FRRS1L"	-0.262892751033158	7.41723727726355	19.9854612163368	0.000282132539585798	0.0502336986732514	"Downregulated"
"RUSC1-AS1"	0.368598259457929	6.26944220010489	50.3313555682131	0.000314645396639559	0.0553309756757269	"Upregulated"
"GPM6A"	-0.186844247383768	8.43980467084806	18.8851488420277	0.00037292117227855	0.0647791363162886	"No change"
"CHD5"	-0.247035065573634	7.68961539529198	18.4962739148296	0.000412442408712985	0.0707810803579249	"No change"
"RPL5"	0.190599096100151	8.65064020794359	18.4094659893323	0.000421887596271786	0.0715400823963729	"No change"
"ABCA1"	-0.572657139197823	4.88621936119871	43.0530945207219	0.000440451402780482	0.0738092915435905	"Downregulated"
"GLUL"	-0.211918900710025	7.69443263817335	26.2939159162392	0.00045715023763844	0.075716837033976	"No change"
"SYT13"	-0.14837581324119	8.9140131872506	17.8154459626781	0.000493364036439155	0.0807756015521761	"No change"
"SC5D"	0.330378113456416	6.45050662382873	57.8493927177634	0.000561705795225908	0.0909197425817936	"Upregulated"
"NEFH"	-0.456526803694895	5.4601635711785	23.9458079683786	0.00057712589956761	0.0923660821734947	"Downregulated"
"VEGFA"	-1.00909697607543	3.37110413502972	36.8471882225455	0.000589149008851102	0.0932426498008344	"Downregulated"
"KCNQ3"	-0.250844925474704	7.1446408603994	19.2795277677581	0.000604237062211443	0.0945797001553823	"Downregulated"
"NPTXR"	-0.221586319061599	7.48923681509199	22.2155250779245	0.000650633932292828	0.100332972648985	"No change"
"ACSS2"	0.455226787470635	5.53687054291397	56.5701608829865	0.000655080486966834	0.100332972648985	"No change"
"STX1B"	-0.226701117267801	7.59113603736136	16.6224006441285	0.000681426637542541	0.10325788324634	"No change"
"MVK"	0.538470544956552	5.06841290781533	84.5776810856822	0.00071015074647584	0.106477760345283	"No change"
"ANKRD52"	-0.22416828045262	7.42934820362345	31.8888853980399	0.000718573660107612	0.106618366818467	"No change"
"P2RX3"	0.280673512924727	6.83996387397753	25.6534257035051	0.000739727566367172	0.10829896755772	"No change"
"PGK1"	-0.167997214914261	8.9070301334693	16.2999814128052	0.000745106628802062	0.10829896755772	"No change"
"ATP1A2"	-0.63154714165702	4.49092585799088	52.2081112880618	0.000833345601104234	0.119900754970997	"No change"
"KLF7"	0.228557577343982	7.38217412391159	43.9098268986252	0.000865879788911113	0.123322189278905	"No change"
"PGD"	0.152192647255195	8.6926515389701	15.7236604264287	0.000876127391796045	0.123322189278905	"No change"
"ATP1B2"	-0.41342720404257	5.64321792223185	23.4148607795545	0.000883099080767223	0.123322189278905	"No change"
"ORAI2"	-0.258333195767236	6.97277953253766	29.3624287269723	0.000894767106986216	0.123738472542832	"No change"
"DYNLL1"	-0.1689928809893	8.18008159796244	18.2022908991678	0.000948021277271875	0.129842452629429	"No change"
"AHI1"	-0.249757578774047	7.04264864481919	20.3795633323793	0.000991448890976979	0.13449712383882	"No change"
"LCOR"	0.189234096663478	7.87348435653137	23.3830070992784	0.00103530599160392	0.139121684381191	"No change"
"PIEZO2"	0.431772431683421	5.55972935041166	40.7222305335395	0.00107877751326989	0.143608475691741	"No change"
"SIK2"	-0.346963447434304	6.15453992071304	14.9320880285707	0.00109990320423598	0.144410589221839	"No change"
"TXNIP"	0.306193712863873	7.67504802489674	14.9159642439463	0.0011050796282772	0.144410589221839	"No change"
"EEF2"	0.16494457748357	10.8371595051657	14.8433323600904	0.00112873658266922	0.146161126214003	"No change"
"EBP"	0.50858823142774	5.08308677318533	50.5177679390903	0.00129320970775698	0.164900323739171	"No change"
"HIVEP2"	-0.201110211772915	7.59584499463986	17.7373105779472	0.00130649167953351	0.164900323739171	"No change"
"EFR3B"	-0.161465849862837	8.23038836910422	14.8386797465628	0.00130818145061263	0.164900323739171	"No change"
"DBH"	-1.13245744012902	2.95845878943666	70.6271872821188	0.00132952280635914	0.166120375910347	"No change"
"HIPK2"	-0.22979495877787	8.28959901165022	14.0998955002027	0.00140622823674115	0.174176652209921	"No change"
"CADM2"	-0.244090692736354	7.01549887952872	38.371497519667	0.00143648217480144	0.176390104291997	"No change"
"CASKIN1"	-0.375191482451536	5.82964587553992	13.9689374725634	0.00146259462346507	0.177522577133141	"No change"
"PITPNM1"	-0.254146435669182	6.89738142879085	15.0220918291407	0.00147063072884798	0.177522577133141	"No change"
"TM7SF2"	0.416047582463109	5.58424382998827	47.2883958188209	0.00149189609736734	0.178576201772272	"No change"
"ISL1"	0.272225177200684	6.84611036468195	13.8641856712169	0.00150949714011561	0.179177310531722	"No change"
"LDLRAD4"	-0.291312046673997	6.49319292224704	32.3014189957263	0.00155924585344161	0.183552875507622	"No change"
"SPRY4"	-1.23857658693271	2.72689646625212	54.2113808264225	0.00160508475947001	0.187400223884351	"No change"
"SDC3"	-0.122523889526291	9.69137420924676	13.4938587143885	0.00168926630520886	0.195625278466626	"No change"
"CDHR1"	0.537245349771114	4.85401522927521	44.6915770374285	0.00185002792406254	0.212514497986668	"No change"
"OLFM1"	-0.129598595539346	8.76837592462531	19.8928748059315	0.00187333988368606	0.213007556861294	"No change"
"ATP1A4"	-0.786898346622612	3.73394269280075	47.6573936789274	0.00188422859902577	0.213007556861294	"No change"
"PLEKHB2"	-0.154328979025738	8.36923288946296	13.0637885641042	0.0019286550240392	0.216313087893027	"No change"
"FNBP1L"	0.108933224369743	9.28443703966007	13.4160168504194	0.00195983139211409	0.218092487103696	"No change"
"KLHL24"	0.359268534380487	5.90926010663925	57.6625607941394	0.00200293286840385	0.221161052539104	"No change"
"RAPGEF6"	0.21237881600153	7.36590999234315	24.2184728571051	0.00206930219727462	0.22673184998446	"No change"
"LRP4"	-0.717352272310025	3.90890714930238	98.1216127159379	0.00231291071542072	0.25148931473628	"No change"
"STARD4"	0.395165575471696	5.6059305996372	27.024322228839	0.0023786005134026	0.254505122209679	"No change"
"RPL4"	0.167511344888428	9.27696758064306	12.3905849618144	0.00238320142912579	0.254505122209679	"No change"
